,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
8813,Suraj Deo,UgwvwY6cvMUkxQZR1H94AaABAg,Samsung J7 Nxt﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,15,4.333333333,0,1,,,,,0,0,neutral
8814,aadesh sali,UgwkImC0Sb7ohauAqGd4AaABAg,You are right sir﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,18,3.75,0,0,,,,,0.2857142857,0.5357142857,positive
8815,Nikhil Raj,Ugy7-tLea8lEy0L7ivJ4AaABAg,1:05...wow😱😱 unbelievable..﻿,4 months ago (edited),worstsmartphonesof2019,zvn73D5jNHs,2,28,13.5,0,0,1:05,,,😱😱,0,0,neutral
8816,Badal Nayak,UgwiLNzeHymtnUMf4n14AaABAg,Very nice video👍﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,17,5,0,0,,,,👍,0.78,1,positive
8817,Abis Azam,Ugx2C4drdfELl7xo1aF4AaABAg,Guruji fans hit like﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,21,4.5,0,0,,,,,0,0,neutral
8818,sujeet Shaw,UgyWmRGoaGFRjMNJX3F4AaABAg,Guruji should i buy umidigi one plzz answer﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,44,4.625,0,0,,,,,0,0,neutral
8819,Harsh Raj,UgxIIbo5mSvAWHDsEqp4AaABAg,nokia ki ads se kon kon parendhab hai hit like﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,10,47,3.8,0,0,,,,,0,0,neutral
8820,YÒUÑGSTER GÀMÉRS ZÓÑÈ,UgwmPfNNX4XtlW-NAsN4AaABAg,BHAI TOP 5 MAI ISS KO KQISAY BHOL GAYAI WORST PHONE IN MY LIFE 1GB RAM MICROMAX BHARAT 5 🔥﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,20,91,3.6,2,17,,,,🔥,-0.25,0.75,negative
8821,Vivek Kumar,UgyyM84jfm0TMKCC7VJ4AaABAg,iPhone xr has 720p display. technical guruji.﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,46,5.714285714,0,0,,,,,0,0.1,neutral
8822,Vishal Patel,UgxcDg6rLQlN0viJYdx4AaABAg,Mai iPhone xr ko no 1 worst phone rakhta hoo﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,10,45,3.6,1,0,,,,,0.5,1,positive
8823,Shashank Rajput,UgwqgcFtubg4Ava-QPx4AaABAg,Best channel for electronics keep it pajii﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,7,43,5.285714286,0,0,,,,,1,0.3,positive
8824,Fine Dude,Ugz9jcPLUqWVTO9IkrF4AaABAg,Sahi hai guruji :)﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,19,4,0,0,,,,,0.5,1,positive
8825,Soumya Ranjan Behera,UgxnLxaF7jcDRP5TkPF4AaABAg,Guruji kabhi Gionee company kyun band hua esliye to vdeo kijiye ...﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,12,68,4.75,0,0,,,,,0,0,neutral
8826,Jaya Chaudhary,Ugysh3fIrEoO_Z7qyL14AaABAg,Lenovo k8 note Maha bakvas﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,27,4.6,0,0,,,,,0,0,neutral
8827,Clickzz Jayanth Raj,UgwiuzukZOSyLz8eAX14AaABAg,I loved It @Techinal Guruji Im mad to see ur videos﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,11,52,3.818181818,0,1,,,,,0.0375,0.9,positive
8828,Ramji Yadav,UgwM_0xgsDTA0cDRpTx4AaABAg,bhai is saal to one plus aur realme ne kamaal kiya h indian market men .﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,16,73,3.625,0,0,,,,,0,0,neutral
8829,Gursehaj singh,Ugwmk_mr89Ae6PlStkl4AaABAg,awesome video but worst phones😂😂﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,33,5.8,0,0,,,,😂😂,0,1,neutral
8830,Diganta Sarkar,Ugylh_7Dv3GA07DjMyh4AaABAg,Samsung galaxy j7 max ...ghatia﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,32,5.6,0,0,,,,,0,0,neutral
8831,sujoy maity,Ugyz-htAaDLq7neEZ7R4AaABAg,top 10 hota too accha hota....﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,6,31,4.333333333,1,0,,,,,0.5,0.5,positive
8832,All is here,UgyxFzOQ-JTF73Vc56J4AaABAg,Love you gurujiiii Samsung j series bakwas phones﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,50,5.375,0,0,,,,,0.5,0.6,positive
8833,Tanvir Molla,UgyJUbW09vfLykA36_B4AaABAg,Sir Ji Honor Band 4 ka review hojaye?﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,8,38,3.875,1,0,,,,,0,0,neutral
8834,CRAZIEST VIDEOS GALAXY,Ugx5ku2mF9J-XNTZVs54AaABAg,Nokia 3.1 plus﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,15,4.333333333,0,0,,,,,0,0,neutral
8835,Sandesh Gautam,UgxDKf99C6rGlOG-CbB4AaABAg,Remove adds﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,2,12,5.5,0,0,,,,,0,0,neutral
8836,Manshul Garg,UgxH4BgStl_Qpy662aJ4AaABAg,Xr is not that worse..actually it is very under rated. As compared to xs it is just low in 2 specs one is 720p screen and other is 2x optical camera. And you are paying almost 25k less for this. Isn't it worth and obviously it has greater screen than xs. And you are placing xr on number 3rd than why not xs??? I can't understand your logic.. Can someone explain﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,71,363,4.126760563,1,1,,,,,0.08854166667,0.2677083333,positive
8837,Yogesh Laljiwala,UgwDCRNoau7zGr-l_p94AaABAg,Sahi bol Gaye bhai... 👌👌﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,25,4.2,0,0,,,,👌👌,0,0,neutral
8838,SG Gaming & Animation,UgyVzX80WjOHXR1x98F4AaABAg,agar appka bhi isme se koi phone ho to like zaroor kar do BTW Nice Video Guruji﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,17,80,3.764705882,0,1,,,,,0.6,1,positive
8839,Amarjeet singh,UgwR3bt0VFCnIcCI7NR4AaABAg,Ha ha very wrost phones﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,5,24,4,0,0,,,,,0.2,0.3,positive
8840,Shahriyar As Subscriber,UgwMR3psKzH7wUt6xIN4AaABAg,Thanks for video 👍👍👍﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,4,21,4.5,0,0,,,,👍👍👍,0.2,0.2,positive
8841,Football Hindi,Ugw-Fl71bpqvjbVjGcl4AaABAg,Love You Guruji﻿,4 months ago,worstsmartphonesof2019,zvn73D5jNHs,3,16,4.666666667,0,0,,,,,0.5,0.6,positive
