,categoryId,channelId,channelTitle,commentCount,description,dislikeCount,likeCount,publishedAt,title,vidId,viewCount
0,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,12089,"Christopher Gibbs, an Ohio farmer who voted for President Donald Trump, tells CNN's Kate Bolduan he doesn't understand why farmers must make the sacrifices in the trade war with China. #CNN #News",1594,13582,2019-05-15T20:54:26.000Z,Farmer who voted for Trump: I&#39;m not going to be quiet,azI1vJH--i4,1150617
1,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,4168,"President Donald Trump just made thousands of items coming in from China more expensive -- including baseball caps, bikes and handbags. CNN's Tom Foreman explains how Trump's tariffs on Chinese goods will affect American consumers. #Trump #China #Tariffs #CNN #News",733,1570,2019-05-10T22:58:41.000Z,Here&#39;s how much Trump&#39;s China tariffs will cost you,GZPIXP7qO0o,330753
2,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,3166,"Nigel Farage, UK Independence Party Leader, talks to CNN's Richard Quest about the benefit of Brexit.",522,5208,2016-06-28T17:24:22.000Z,Nigel Farage on Brexit and Donald Trump (Full CNN interview),eYOqSW7VAsk,388527
3,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,2324,"The Dow plunged 450 points at the open after President Donald Trump surprised investors by threatening to impose higher tariffs on China in a tweet. But at midday, the Dow bounced back from its initial low, and was down some 170 points.
The Dow is still up about 14% this year, but the plunge at one point wiped out the past three weeks of gains.
#Trump #Tariffs #CNN #News",411,880,2019-05-06T16:45:08.000Z,Trump&#39;s tariff threat causes stock market slide,bMk6L4eoG2Q,146545
4,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,2531,"In the midst of a trade war, China imposed high tariffs on various imports, hitting the lobster industry in Maine hard. CNN's Miguel Marquez reports. 

#CNN #News",361,1433,2019-05-21T19:53:51.000Z,"This fisherman, who likes Trump, has a message for the President",mZavuDiPKd4,141416
6,25,UCupvZG-5ko_eiXAupbDfxWw,CNN,2323,"President Donald Trump likes to keep people guessing. Which is why his ""wait and see"" philosophy remains a cornerstone of his presidency. 

SOURCES AND FURTHER READING:
 
Here's an easy way to understand all of President Trump's recent flip-flops
https://www.cnn.com/2017/04/13/politics/trump-flip-flop-russia-china/index.html
 
Trump faces mounting foreign policy challenges around world
https://abcnews4.com/news/nation-world/trump-faces-mounting-foreign-policy-challenges-around-world
 
This phrase has become a running joke on the Trump administration
https://www.cnn.com/2019/05/23/politics/donald-trump-infrastructure-week/index.html
 
The legal philosophy of Donald J. Trump
https://www.washingtonpost.com/politics/2018/10/09/legal-philosophy-donald-j-trump/
 
A philosopher explains America’s “post-truth” problem
https://www.vox.com/2018/8/14/17661430/trump-post-truth-politics-philosophy-simon-blackburn
 
Sarah Sanders Says Trump and Kim ‘Agree in Their Assessment’ of Biden
https://www.nytimes.com/2019/05/26/us/politics/sarah-sanders-meet-the-press.html
 
About me:
I was named ""best dressed"" in 7th grade. That, along with being CNN's editor at large and author of the daily ""Point"" newsletter are my proudest achievements. Look for me here every Tuesday and Thursday to find out what’s really going down in politics. 
 
CREDITS
Writer: Chris Cillizza
The Point team: Brenna Williams, Leigh Munsil
Editor: Steven Sevilla
Producer: Maya Dangerfield
 
Follow Chris on
Instagram: https://www.instagram.com/cillizzac/
Twitter: https://twitter.com/cillizzacnn
Facebook: https://www.facebook.com/chris.cillizza/
Subscribe to The Point newsletter: https://mailchi.mp/cnn/dvgb325pfm    

#Cillizza #Trump #CNN #News",661,1288,2019-05-28T14:04:20.000Z,How &#39;we’ll see&#39; became Trump’s philosophy,rM6RyuJkVgk,106437
