,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
25166,The Sweetsters,Ugx1bJ4z59ZxxlQtxTl4AaABAg,1. Sub 2. Like 3. Comment I will do the same if you did,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,14,55,3.0,0,1,,,,,0.0,0.125,neutral
25167,Neymagico,UgyJQ9kpjEY9G1mBbkt4AaABAg,1 sub 1 like 1 comment I will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,41,2.8181818181818183,3,1,,,,,0.0,0.125,neutral
25170,Jung njp,UgyLEzyCZKDRLS1xwq54AaABAg,"Let's sub Let's comment Let's like I will subscribe you back , comment and like Let's do it",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,18,91,4.111111111111111,0,1,,,,,0.0,0.0,neutral
25171,lifewith valerie,UgyIHpCGCtbPJbZj-yZ4AaABAg,Help me reach 1k & I will sub back to all you s,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,47,2.6923076923076925,0,1,,,,,0.0,0.0,neutral
25172,JizamiTV,Ugx_YkvB5UTomVFewq14AaABAg,Anyone needing more subscribers and watch hour? Willing to support each other. Sub to sub😊,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,90,5.066666666666666,0,0,,,,😊,0.20833333333333334,0.5416666666666666,positive
25180,Sandeep Malik,Ugw4o8Xs-vz5ufZ5rOZ4AaABAg,Bhai unlisted krne se to khe show he nhi ho rhi video,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,53,3.5,0,0,,,,,0.0,0.0,neutral
25184,hindi gaming,Ugw0CPcrGW8pxIgJ8jN4AaABAg,1 sub 2 like 3 comment ok done I will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,49,2.8461538461538463,3,1,,,,,0.25,0.3125,positive
25185,1k Subs With No Videos,UgwY1V_wa8nZ7D-Sfbp4AaABAg,1.) Like this comment 2.)like one of my most recent videos 3.)You have one more active subscriber,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,17,97,4.764705882352941,0,0,,,,,0.21666666666666667,0.4625,positive
25186,H.S mind Creations,UgwRIhG0_8keMcMEZkZ4AaABAg,"Sir, Mera chainal me Mai status banati hun what'sapp k liye to kya yeh sahi h..... Or m new hun plz help me sir",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,24,111,3.6666666666666665,0,0,,,,,0.13636363636363635,0.45454545454545453,positive
25188,Viral Youtube,UgyY5ZdnvyxNR4Vu6s14AaABAg,Lets grow together 1. Sub 2. Comment 3. Like 4. I will do the same at lightning speed,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,18,85,3.7777777777777777,0,1,,,,,0.0,0.125,neutral
25250,A＄ħし㉫ƴ -TV,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8l2WkN9io22,hi all pls subscribe to my channel and I do the same thanks,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,59,3.6153846153846154,0,1,,,,,0.1,0.1625,positive
25267,Bitta Noora Diaries,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8l95VkuCY-w,"Viral youtube - Done, Now it's your turn... Sub me back.. Im waiting...",8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,71,4.538461538461538,0,0,,,,,0.0,0.0,neutral
25268,Bitta Noora Diaries,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8l95XX59RTl,"@Assaults Done, Now it's your turn... Sub me back.. Im waiting...",8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,65,5.0,0,0,,,,,0.0,0.0,neutral
25274,Joker Sama,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8lEE8SWN37k,i sub everbody who sub me back and comment to be more easy sub (in few hours i sub thanks),8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,20,90,3.55,0,0,,,,,0.18666666666666668,0.3266666666666667,positive
25288,Notice me Senpai,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8lGVSzFKNr6,1. Sub me with notifications on! 🔔 2. Like this comment! 3. Comment Done!,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,14,73,4.285714285714286,0,0,,,,🔔,0.0,0.0,neutral
25343,CrazyWorld,UgyY5ZdnvyxNR4Vu6s14AaABAg.8kQPzshAB0H8lzbyhgOCP3,Done I sub you all. how about you? please sub me tnx,7 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,52,3.4166666666666665,0,1,,,,,0.0,0.0,neutral
25371,amhi nashikkar,Ugx_ccI9XAfpqtKewRN4AaABAg,Bhai tumne bataya vesa sub kiya pur vedio dalker 1hr ho gaya 2 hi viev he. or surch me atihi nhi he vedio,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,23,105,3.608695652173913,1,0,,,,,0.0,0.0,neutral
25375,Jurgent TV,UgwC5EGALVk5oBzg4VN4AaABAg,"1,sub me 2,coment done 3, I Will sub you back ; Let's grow up together /",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,16,72,3.5625,0,1,,,,,0.0,0.0,neutral
25395,Bitta Noora Diaries,UgygtJ6b4dHw6p86mh94AaABAg.8kPs9Y6FXi48l9304A4F6u,@Travelling with Millie All around Done ... Now Sub me back... You have'nt Subscribed me yet... Otherwise i will Unsubscribe you,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,21,128,5.142857142857143,0,0,,,,,0.0,0.0,neutral
25407,PERSD BGAW,UgygtJ6b4dHw6p86mh94AaABAg.8kPs9Y6FXi48leXOt7nC-7,"Discover how you can Increase your income while at home. Check out LIVEONLINEJOB. COM for more info. “Many opportunities are missed, since we fail to give it a try.”",8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,29,165,4.724137931034483,0,2,,,,,0.16666666666666666,0.4333333333333333,positive
25414,A.I.O ALL IN ONE,Ugxc8JTaJeWVDN05TdZ4AaABAg,1 subscribe 1 like 1 share 1 comment I WILL DO THE SAME WITH YOU,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,64,3.3333333333333335,4,7,,,,,0.0,0.125,neutral
25421,Renegade JEW,Ugxfud0D1tEW5RFjvtN4AaABAg.8kP_4CJi8VK8l93S88ENmy,Ali Hashir Done your turn don’t forget to hit the bell thanks,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,61,4.166666666666667,0,0,,,,,0.2,0.2,positive
25431,DJ Koustav,UgzN-PNK3ay9oh2VMFJ4AaABAg,"Please watch (for at least 20s) my last 3 videos in my channel. Reply me ""done"". And I'll do the same for you.",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,23,110,3.8260869565217392,1,0,,,,,-0.09999999999999999,0.19722222222222222,negative
25433,Young M Emma uganda,UgzSOKS6SDc__LuZCNh4AaABAg,1 sub 2 like Share and comment and I will do the same when u doesn't,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,16,68,3.3125,2,1,,,,,0.0,0.125,neutral
25435,Red Wings 4life,UgwPGx9qOOlfyrzcSBh4AaABAg,Sub me Like this comment Reply You just earned a sub,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,52,3.8181818181818183,0,0,,,,,0.0,0.0,neutral
25437,Empty Voice,Ugwj0L5H7D0AmrqA2-h4AaABAg,2 Sub 2 like 1comment I'll do desame if u did,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,45,3.1818181818181817,2,0,,,,,0.0,0.0,neutral
25446,Abhishek Chavan,UgwKAGuE09NvpVKtiCF4AaABAg,Anyone who subscribers my channel i will subscribe your channel within 2min,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,75,5.333333333333333,0,0,,,,,0.0,0.0,neutral
25447,channel 98 by used,Ugy16YPNv7RZDYdqaKJ4AaABAg,Bhai please my channel ko like and share Subscribe now channel name .... channel 98 by used,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,17,91,4.411764705882353,1,0,,,,,0.0,0.0,neutral
25449,first last,UgxzxLzqsgj4e2JUprd4AaABAg,"Mere channel ka naam ""INDIAN SPORTS NEWS"" hai. Mera subscribers 199 pe aake rukh gaya hai aur aage grow nahi kar raha hai. Subscriber kam ho rahe hai lekin 199 ke aage badh nahi rha hai Kya kare bhai please reply karo. 🙏",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,43,220,4.1395348837209305,2,3,,,,🙏,-0.5,0.5,negative
25454,GearheadzGamingTX,Ugx74qnCkfWy_LT4Tfx4AaABAg,I want new subs!!😍 1) Subscribe to me 2) Like this comment 3) Say done! ✅ 4) I’ll do the same!! 🔥,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,22,97,3.4545454545454546,0,1,,,,😍✅🔥,0.08522727272727272,0.2897727272727273,positive
25463,Bitta Noora Diaries,UgzpNlwaq3oEfApxS6B4AaABAg.8kNOOWS-ZDG8l93eVphkGi,"The Van Awesome Family- Done,Now your turn..Sub me back ! Waiting",8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,65,5.0,0,0,,,,,0.5,0.5,positive
25483,The Van Awesome Family,UgzpNlwaq3oEfApxS6B4AaABAg.8kNOOWS-ZDG8lNd-NuIBuE,THE WORLD OF ART & CRAFT we subbed back! Thanks 🙏,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,49,3.5454545454545454,0,5,,,,🙏,0.1,0.1,positive
25486,James cr7,UgwVeuNZqmFEWu_hf8Z4AaABAg,Sub Like And comment I'll do the same if you did,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,48,3.4545454545454546,0,0,,,,,0.0,0.125,neutral
25494,Renegade JEW,UgwVeuNZqmFEWu_hf8Z4AaABAg.8kNLsib415T8l92hKk-fj6,James cr7 Done your turn. Don’t forget to hit the bell,8 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,54,4.0,0,0,,,,,0.0,0.0,neutral
25503,Tanha Shayar,UgxnoCfMxckc3hOtZIt4AaABAg,"sir, can u plzz feature my chanel.... help me to grow.",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,54,4.0,0,0,,,,,0.0,0.0,neutral
25504,Fitness by Vivi,UgwpEfXeTulamxpQ8zt4AaABAg,"Let’s help each other. 1) subscribe to me and press bell icon 🛎 2) give me a like. 3) Comment done, and Ill do the same. No cheating, I’m very fast and I want to do this. Good luck",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,39,180,3.641025641025641,0,1,,,,🛎,0.06699999999999999,0.5760000000000001,positive
25505,Marble & Denim Dancing,UgwpEfXeTulamxpQ8zt4AaABAg.8kNKPn7BOsK8kNmX1kd-5t,"Hello Vivi! Yes, I'd like to support you! DONE! #87 Please sub me back.. Thank YOU and I wish you all the best! Tim :)",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,25,118,3.76,0,3,,,#87,,0.5,0.43333333333333335,positive
25510,PDMS Academy,Ugx0lwAKJBueeVuH20d4AaABAg,I M SUBSCRIBING EVERY ONE please support and subscribe my channel ..thanks,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,74,5.25,0,5,,,,,0.0,0.0,neutral
25512,Rj Naxia Endless,UgxLrSrZ7RPs-RKgbc14AaABAg,"SUB TO SUB? SUB ME, i will sub you back quick😊",9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,46,3.272727272727273,0,5,,,,😊,0.0,0.0,neutral
25514,Gaming challengers,UgyGA9LL-MPBghUv_Et4AaABAg,Mare channel grow nahi Kar raha ya sari trick follow Karnak bad be,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,66,4.153846153846154,0,0,,,,,-0.6999999999999998,0.6666666666666666,negative
25516,K 4 boyz,UgyjcLhK96y8JorR0iF4AaABAg,If you sub my channel if submit your channel 35 likes 59 subs 42 comments,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,73,3.933333333333333,3,0,,,,,0.0,0.0,neutral
25517,Fitness Motivter,UgwV_mt5QZR2jDt7Jed4AaABAg,Unlisted Karne ke baad publis karna hai Ya sheda upload kar na hai,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,66,4.153846153846154,0,0,,,,,0.0,0.0,neutral
25519,Green Ninja,Ugx5eN72ekriEE1Ypw94AaABAg,1)sub 2)comment done in any of my videos I will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,59,3.6153846153846154,0,1,,,,,0.0,0.125,neutral
25520,TECH ADC Kumar,Ugx6ysHnHP9UKi1bnlR4AaABAg,Ok bro mai aapki baat maaan kar chalta hu ager nahi hua to tere liye accha nahi hoga,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,18,84,3.7222222222222223,0,0,,,,,0.5,0.5,positive
25521,Entertainment Tube,Ugx8nLHRADFfrc9oBGh4AaABAg,LISTEN EVERYONE IM SUBBING TO EVERYONE WHO SUBS TO ME ✔100% LOYAL AND FAST,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,14,74,4.357142857142857,0,13,,,,✔,0.26666666666666666,0.7166666666666667,positive
25522,United NaMo Fans,UgxN8oI2GFIcaevVfN54AaABAg,1. sub 2. like 3. comment 4. i will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,47,3.0,0,0,,,,,0.0,0.125,neutral
25524,Gehri Baat,Ugzi77-2S9ORoVmUimt4AaABAg,Hello frnds..subscribed my chanel and reply with done i subsribed your chanl instant...,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,87,5.769230769230769,0,0,,,,,0.0,0.6666666666666666,neutral
25527,Aneiyce Breezy,UgwynNxwNQerPFEj9MZ4AaABAg,Subscribe to my channel and I’ll subscribe back let’s help and grow together,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,76,4.923076923076923,0,0,,,,,0.0,0.0,neutral
25532,RussSonLeYT,UgyY1kw9Ht-cOW-mDjV4AaABAg,1) Sub 2 Me 2) Comment Done 3) Watch my latest video once 4) I will do the same,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,19,79,3.210526315789474,1,1,,,,,0.25,0.5125,positive
25535,ROYAL PUBG GAMER,UgyZQXWsOhxx6PukMMF4AaABAg,4 Sub 2 like 1 comment I'll do desame if you did,9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,12,48,3.0833333333333335,3,0,,,,,0.0,0.0,neutral
25539,Tap,UgyniM4xUWshkTgE00F4AaABAg,LIKE and COMMENT of what you think of my LATEST VIDEO (no need for a sub!) And i'll sub ya 2 TIMES! much love fam! ;),9 months ago,getting_more_views_on_youtube,GSFRXFI0pKc,26,117,3.5384615384615383,1,5,,,,,0.5520833333333334,0.8333333333333334,positive
