,categoryId,channelId,channelTitle,commentCount,description,dislikeCount,likeCount,publishedAt,title,vidId,viewCount
0,28,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,21650,"After many years using MacBook variants I've made the switch to Windows. I've used every version of MacBook Pro and MacBook Air that have been released. My current laptop of choice is the Lenovo Thinkpad X1 Carbon / Lenovo Thinkpad X1 Extreme.Turns out switching from Mac to Windows isn't as painful as I expected.

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy",11440,109645,2019-03-10T14:46:31.000Z,Here&#39;s why I&#39;m officially quitting Apple Laptops.,gZUSFda_W7k,4524618
1,28,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,8850,"The Lenovo X1 Carbon is an incredibly thin and light 14-inch laptop. It comes in at 2.5 pounds making it lighter than the 13-inch MacBook Air. The X1 Carbon also features one of the more highly regarded laptop keyboards. It’s available with 3 different display options including the touch model featured in this video. So what would you go for, the Lenovo X1 Carbon or MacBook Air?

WATCH SOME MORE VIDEOS...

The Palm Phone actually fits in your palm
https://youtu.be/VToUrMnqKV4

They Sent A Special OnePlus 6T…
https://youtu.be/GFqGRjXGluY

Is The Surface Go A Real Computer?
https://youtu.be/wRABdjtkzsY

My Next Smartphone May Surprise You...
https://youtu.be/g25StPrw624

Wait... This Headset Does WHAT?
https://youtu.be/PCATqsHc7oE

The Truth About The iPad Pro...
https://youtu.be/JXqou3SVbMw

You’ve Never Seen A Smartphone Like This…
https://youtu.be/zpuy3vjdVNQ

The Mind Bending 77-inch Wallpaper TV
https://youtu.be/tjedpFHFKhY

The Craziest Smartphone Yet...
https://youtu.be/tZsiEfnOp30

Can The Google Pixel Slate Beat The iPad Pro?
https://youtu.be/lccvHF4ODNY

Is The Huawei Mate 20 Pro As Good As They Say?
https://youtu.be/peYgzUIOUp8

Is Nokia Back?
https://youtu.be/mXjZMleiJZs

I’m quitting computers
https://youtu.be/w3oRJeReP8g

Is The Surface Laptop 2 The Perfect Laptop?
https://youtu.be/Ht2L6wSEjHQ

The Enormous Microsoft Surface Studio 2
https://youtu.be/YZ489u3w7i0

The Addictive Sliding Smartphone...
https://www.youtube.com/watch?v=6vKQxTV366c&index=2&list=PL7u4lWXQ3wfI_7PgX0C-VTiwLeu0S4v34&t=8s

The Incredible Dual Screen Smartphone…
https://youtu.be/hcDrGYyemDw?list=PL7...

Is The iPad Pro Worth Laptop Money?
https://youtu.be/FGJWE_qcOAM?list=PL7...

Is This The Best Laptop For Most People?
https://youtu.be/8eMdpKwEvRw?list=PL7...

The Project Tesla Solar Powered Smartphone
https://youtu.be/NVO5XgJlL9Y?list=PL7...

3 Unusual Gadgets With Secret Features...
https://youtu.be/zNxR4gPm82I?list=PL7...

The Red Hydrogen One Holographic Smartphone
https://youtu.be/3zdAhMPdJbI?list=PL7...

OnePlus 6T - Is This My Next Smartphone?
https://youtu.be/KI6ZJTSja4s?list=PL7...

The Most Insane Gaming Laptop
https://youtu.be/Iy4G2_nTkRU?list=PL7...

Unboxing Every iPhone XR
https://youtu.be/u_MmxV2vNs8?list=PL7...

Unboxing a $1300 Professional Fighting Robot
https://youtu.be/X7MpHzdscUk?list=PL7...

Is The Pixel 3 A Scratch Magnet?
https://youtu.be/VX0sA_-h0-o?list=PL7...

This Smartphone Will Change Everything...
https://youtu.be/a1OUaxl2iiI?list=PL7...

Is This The Most Underrated Smartphone Right Now?
https://youtu.be/xXdEn9ZiRDk?list=PL7...

Razer Phone 2 Unboxing - Can It Compete?
https://youtu.be/khxLE4EBoTc?list=PL7...

I'm Switching To The Google Pixel 3 XL...
https://youtu.be/EeFqcmaw6iA?list=PL7...

The iPhone XS Max Is Great. Don't Buy It.
https://youtu.be/2ccjWGaZe3k?list=PL7...

Dear Google...
https://youtu.be/XjZJHsYIj2w?list=PL7...

Unboxing Every Google Pixel 3 XL + Pixel 3
https://youtu.be/BJrsmM6aEYE?list=PL7...

This Smartphone Has 5 Cameras… But Why?
https://youtu.be/LNa93qmP868?list=PL7...

The Levitating Turntable - What Magic Is This?
https://youtu.be/JUlPN2A_r-g?list=PL7...

The iPhone XS Has A Serious Problem...
https://youtu.be/J_lRJuQtBmc?list=PL7...

Realme 2 Pro Unboxing - The $200 Real Deal
https://youtu.be/pNzhLB6vSGQ?list=PL7...

My iPhone XS Max Is Doing Something Weird...
https://youtu.be/Q3GGdtn9poo?list=PL7...

I'm Switching To The iPhone XS Max...
https://youtu.be/SeZsW1o-jaA?list=PL7...

Unboxing Every iPhone XS + XS Max
https://youtu.be/XFckmtISfJk?list=PL7...

iPhone XS + XR Actual Battery Capacity Revealed
https://youtu.be/M-0hj4tmHNA?list=PL7...

A Galaxy Note 9 Has Allegedly Exploded...
https://youtu.be/tYpX-AeDfAA?list=PL7...

The iPhone XR Is Depressing...
https://youtu.be/rpeFbaf6XkM?list=PL7...

Pocophone F1 Review - Is It Really That Good?
https://youtu.be/xzZgO1xCJ7Q?list=PL7...

Is This The Ultimate Gaming Smartphone?
https://youtu.be/ejrjuZ5PDEc?list=PL7...

This iPhone XS Max Was Not Made By Apple…
https://youtu.be/8_gObXfLw28?list=PL7...

Is This The Best Smartphone Notch Yet?
https://youtu.be/NNh6qjHZED8?list=PL7...

iPhone XS, XS Max, XR - Did Apple Do Enough?
https://youtu.be/RQIG7XYqkK8?list=PL7...

The Samsung Foldable Smartphone is Real...
https://youtu.be/DULpT-mpUC4?list=PL7...

Switching to the Pocophone F1...
https://youtu.be/c7nC7G_urPY?list=PL7...

The Truth About The Huawei P20 Pro...
https://youtu.be/D--RtduxDMs?list=PL7...

The Xiaomi Mi A2 is a crazy good deal... 
https://youtu.be/IMCQ0AyHG2w?list=PL7...

Pocophone F1 - How Is This Smartphone Possible?
https://youtu.be/ssw9H08ddlw?list=PL7...

This is the Google Pixel 3 XL
https://youtu.be/FBJUzImcGzc?list=PL7...

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy
Google Plus - http://bit.ly/1auEeak",3944,67426,2018-12-13T15:35:12.000Z,Did I Just Find The Perfect Laptop?,KZmIZbtI46Y,3621000
2,28,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,5045,"How does the Thinkpad 25th anniversary edition compare to the Thinkpads of old?  We resurrect a 20 year old one to find out.

Try Tunnelbear for free, no credit card required, at https://www.tunnelbear.com/LTT

Check out Sennheiser's PXC 550 Wireless headphones here: http://geni.us/8XQb

Buy a ThinkPad
Amazon: http://geni.us/3Mtz2Z
Newegg: http://geni.us/KOhm

Discuss on the forum: https://linustechtips.com/main/topic/880719-2017-thinkpad-vs1997-thinkpad-%E2%80%93-25-anniversary-edition-review/

Our Affiliates, Referral Programs, and Sponsors: https://linustechtips.com/main/topic/75969-linus-tech-tips-affiliates-referral-programs-and-sponsors

Linus Tech Tips merchandise at http://www.designbyhumans.com/shop/LinusTechTips/
Linus Tech Tips posters at http://crowdmade.com/linustechtips
Our production gear: http://geni.us/cvOS

Twitter - https://twitter.com/linustech
Facebook - http://www.facebook.com/LinusTech
Instagram - https://www.instagram.com/linustech
Twitch - https://www.twitch.tv/linustech 

Intro Screen Music Credit:
Title: Laszlo - Supernova
Video Link: https://www.youtube.com/watch?v=PKfxmFU3lWY
iTunes Download Link: https://itunes.apple.com/us/album/supernova/id936805712
Artist Link: https://soundcloud.com/laszlomusic

Outro Screen Music Credit: Approaching Nirvana - Sugar High http://www.youtube.com/approachingnirvana

Sound effects provided by http://www.freesfx.co.uk/sfx/",1476,39783,2018-01-02T20:55:19.000Z,2017 Thinkpad vs.1997 Thinkpad – 25 Anniversary Edition Review,TEAO7jhxxwk,1564427
3,28,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,2643,"Thanks to Skillshare for sponsoring this video! First 250 people who head to http://skl.sh/2pg2H31 will get 2 months of Skillshare for only $0.99

Buy ZOTAC's MEK1 on Amazon: http://geni.us/geaWa
Buy ZOTAC's MEK1 on Newegg: http://geni.us/A6gG
Buy ZOTAC's MEK1 at their store: http://geni.us/Pf1cl

The Thinkpad X1 Carbon 6th Gen is the suit of laptops, but is it still good when the tie comes off?

Buy Thinkpad X1 Carbon:
On Amazon: http://geni.us/yinG 
On Newegg: http://geni.us/D2fV

Discuss on our forum: https://linustechtips.com/main/topic/920107-who-are-you-trying-to-impress-thinkpad-x1-carbon-6th-gen-review/

Our Affiliates, Referral Programs, and Sponsors: https://linustechtips.com/main/topic/75969-linus-tech-tips-affiliates-referral-programs-and-sponsors

Linus Tech Tips merchandise at http://www.designbyhumans.com/shop/LinusTechTips/

Linus Tech Tips posters at http://crowdmade.com/linustechtips

Our Test Benches on Amazon: https://www.amazon.com/shop/linustechtips

Our production gear: http://geni.us/cvOS

Get LTX 2018 tickets at https://www.ltxexpo.com/

Twitter - https://twitter.com/linustech Facebook - http://www.facebook.com/LinusTech Instagram - https://www.instagram.com/linustech Twitch - https://www.twitch.tv/linustech

Intro Screen Music Credit: Title: Laszlo - Supernova Video Link: https://www.youtube.com/watch?v=PKfxmFU3lWY iTunes Download Link: https://itunes.apple.com/us/album/supernova/id936805712 Artist Link: https://soundcloud.com/laszlomusic

Outro Screen Music Credit: Approaching Nirvana - Sugar High http://www.youtube.com/approachingnirvana

Sound effects provided by http://www.freesfx.co.uk/sfx/",1824,25038,2018-04-24T19:00:29.000Z,Who Are You Trying to Impress? - Lenovo X1 Carbon Review,yQt6Eqk5boE,1489454
